trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
89,False,"{'a': 0.01, 'e': 0.914845573574452}",20,0,-186.93157186428522,"{0: 6, 1: 5, 2: 5, 3: 2, 4: 2}",0
90,False,"{'a': 0.01, 'e': 0.9139311852712282}",20,0,-65.61812587655164,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
91,False,"{'a': 0.01, 'e': 0.9130177108992658}",20,0,-167.95866989033462,"{0: 12, 1: 2, 2: 1, 3: 2, 4: 3}",0
92,False,"{'a': 0.01, 'e': 0.9121051495450904}",30,0,-133.7166825002433,"{0: 19, 1: 3, 2: 4, 3: 3, 4: 1}",0
93,False,"{'a': 0.01, 'e': 0.9111935002961405}",20,0,-98.68500300274442,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
94,False,"{'a': 0.01, 'e': 0.910282762240767}",20,0,-158.31863644565044,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 4}",0
95,False,"{'a': 0.01, 'e': 0.9093729344682314}",30,0,-99.03418060888029,"{0: 20, 1: 4, 2: 3, 3: 2, 4: 1}",0
96,False,"{'a': 0.01, 'e': 0.9084640160687062}",20,0,-56.27922321763691,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.9075560061332727}",20,10,-2.214674787520931,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
98,False,"{'a': 0.01, 'e': 0.9066489037539209}",20,0,-36.22767179713148,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.9057427080235485}",20,0,-96.96353232726409,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
100,False,"{'a': 0.01, 'e': 0.9048374180359595}",20,0,-159.1501900234158,"{0: 10, 1: 1, 2: 5, 3: 2, 4: 2}",0
101,False,"{'a': 0.01, 'e': 0.9039330328858641}",20,0,-38.29356922689755,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.9030295516688768}",20,0,-31.11186974046451,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.9021269734815165}",25,0,-88.67577928882729,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
104,False,"{'a': 0.01, 'e': 0.9012252974212047}",25,0,-125.92334370449439,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
105,False,"{'a': 0.01, 'e': 0.9003245225862656}",20,0,-142.431923842872,"{0: 12, 1: 0, 2: 4, 3: 2, 4: 2}",0
106,False,"{'a': 0.01, 'e': 0.899424648075924}",20,0,-62.55206669430394,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
107,False,"{'a': 0.01, 'e': 0.8985256729903055}",20,0,-101.1233292241487,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
108,False,"{'a': 0.01, 'e': 0.8976275964304349}",30,0,-104.74652484842055,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
109,False,"{'a': 0.01, 'e': 0.8967304174982355}",20,8,-31.538754032709015,"{0: 8, 1: 1, 2: 2, 3: 1, 4: 0}",1
110,False,"{'a': 0.01, 'e': 0.8958341352965282}",20,3,-42.41799769531749,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 0}",1
111,False,"{'a': 0.01, 'e': 0.894938748929031}",20,0,-41.714487585927245,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
112,False,"{'a': 0.01, 'e': 0.8940442575003572}",20,0,-96.58580076557315,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
113,False,"{'a': 0.01, 'e': 0.8931506601160155}",30,4,-144.88943570896544,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 2}",1
114,False,"{'a': 0.01, 'e': 0.8922579558824083}",35,0,-112.1470588771504,"{0: 21, 1: 2, 2: 11, 3: 1, 4: 0}",0
115,False,"{'a': 0.01, 'e': 0.8913661439068313}",25,0,-96.5790870661946,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
116,False,"{'a': 0.01, 'e': 0.8904752232974726}",20,12,3.139370238552335,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.01, 'e': 0.8895851931634113}",20,0,-179.7057820590596,"{0: 11, 1: 0, 2: 5, 3: 1, 4: 3}",0
118,False,"{'a': 0.01, 'e': 0.8886960526146174}",25,0,-88.7383855724386,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
119,False,"{'a': 0.01, 'e': 0.8878078007619501}",25,13,-64.25395758312713,"{0: 7, 1: 0, 2: 4, 3: 0, 4: 1}",1
120,False,"{'a': 0.01, 'e': 0.8869204367171575}",25,0,-109.65990196636136,"{0: 13, 1: 3, 2: 7, 3: 2, 4: 0}",0
121,False,"{'a': 0.01, 'e': 0.8860339595928756}",30,14,-87.5248159753057,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 2}",1
122,False,"{'a': 0.01, 'e': 0.8851483685026271}",20,0,-26.26372039302241,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.8842636625608209}",20,11,-56.95893402639179,"{0: 6, 1: 0, 2: 1, 3: 1, 4: 1}",1
124,False,"{'a': 0.01, 'e': 0.8833798408827509}",20,0,-130.426957419226,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
125,False,"{'a': 0.01, 'e': 0.8824969025845955}",20,0,-139.10047384814163,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 3}",0
126,False,"{'a': 0.01, 'e': 0.8816148467834161}",30,0,-118.15514618426239,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
127,False,"{'a': 0.01, 'e': 0.880733672597157}",30,2,-112.06567490420503,"{0: 18, 1: 1, 2: 7, 3: 1, 4: 1}",1
128,False,"{'a': 0.01, 'e': 0.8798533791446438}",20,0,-177.17090433328772,"{0: 12, 1: 2, 2: 2, 3: 0, 4: 4}",0
129,False,"{'a': 0.01, 'e': 0.8789739655455832}",30,0,-139.5448620045635,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
130,False,"{'a': 0.01, 'e': 0.8780954309205613}",30,0,-168.72087214837381,"{0: 17, 1: 1, 2: 9, 3: 1, 4: 2}",0
131,False,"{'a': 0.01, 'e': 0.8772177743910435}",20,0,-150.09148353873246,"{0: 11, 1: 0, 2: 6, 3: 1, 4: 2}",0
132,False,"{'a': 0.01, 'e': 0.8763409950793732}",30,3,-161.74106911477355,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 3}",1
133,False,"{'a': 0.01, 'e': 0.8754650921087711}",25,0,-178.2045857109432,"{0: 11, 1: 3, 2: 8, 3: 1, 4: 2}",0
134,False,"{'a': 0.01, 'e': 0.874590064603334}",20,0,-102.32799530005138,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
135,False,"{'a': 0.01, 'e': 0.8737159116880344}",20,0,-171.79868938370848,"{0: 12, 1: 1, 2: 2, 3: 2, 4: 3}",0
136,False,"{'a': 0.01, 'e': 0.8728426324887193}",25,0,-114.72603495302175,"{0: 13, 1: 3, 2: 8, 3: 0, 4: 1}",0
137,False,"{'a': 0.01, 'e': 0.8719702261321094}",20,7,-56.476239131474884,"{0: 9, 1: 2, 2: 0, 3: 1, 4: 1}",1
138,False,"{'a': 0.01, 'e': 0.8710986917457983}",20,10,-3.2098319029859677,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.01, 'e': 0.8702280284582515}",20,5,-75.79911514686194,"{0: 8, 1: 1, 2: 4, 3: 2, 4: 0}",1
140,False,"{'a': 0.01, 'e': 0.8693582353988059}",25,11,-21.354086578570023,"{0: 10, 1: 0, 2: 4, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.8684893116976679}",25,12,-85.7333887431537,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
142,False,"{'a': 0.01, 'e': 0.867621256485914}",25,0,-93.31951507305739,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
143,False,"{'a': 0.01, 'e': 0.8667540688954889}",30,0,-208.78068079844545,"{0: 12, 1: 5, 2: 8, 3: 4, 4: 1}",0
144,False,"{'a': 0.01, 'e': 0.865887748059205}",30,13,-19.463719453062257,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.8650222931107413}",20,0,-125.68179722126042,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
146,False,"{'a': 0.01, 'e': 0.8641577031846428}",35,14,-110.29480440940699,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 3}",1
147,False,"{'a': 0.01, 'e': 0.8632939774163194}",30,0,-118.98731836684624,"{0: 19, 1: 5, 2: 4, 3: 0, 4: 2}",0
148,False,"{'a': 0.01, 'e': 0.8624311149420455}",25,0,-121.98215255484443,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
149,False,"{'a': 0.01, 'e': 0.8615691148989583}",30,2,-77.25395431144337,"{0: 20, 1: 2, 2: 5, 3: 0, 4: 1}",1
150,False,"{'a': 0.01, 'e': 0.8607079764250578}",20,0,-142.44542343129578,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
151,False,"{'a': 0.01, 'e': 0.8598476986592055}",25,0,-99.40750394717557,"{0: 18, 1: 1, 2: 3, 3: 2, 4: 1}",0
152,False,"{'a': 0.01, 'e': 0.8589882807411234}",25,0,-239.19259569296614,"{0: 10, 1: 1, 2: 9, 3: 2, 4: 3}",0
153,False,"{'a': 0.01, 'e': 0.8581297218113938}",30,0,-116.41313217040408,"{0: 22, 1: 2, 2: 3, 3: 1, 4: 2}",0
154,False,"{'a': 0.01, 'e': 0.8572720210114575}",20,0,-111.97823500117089,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",1
155,False,"{'a': 0.01, 'e': 0.8564151774836135}",20,0,-71.00403291149793,"{0: 12, 1: 1, 2: 6, 3: 1, 4: 0}",0
156,False,"{'a': 0.01, 'e': 0.8555591903710185}",30,0,-29.208505632486073,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 1}",0
157,False,"{'a': 0.01, 'e': 0.8547040588176851}",20,0,-84.08399234703947,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
158,False,"{'a': 0.01, 'e': 0.8538497819684817}",30,0,-102.23210376333623,"{0: 20, 1: 2, 2: 7, 3: 0, 4: 1}",0
