trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
811,False,"{'a': 0.01, 'e': 0.32194149075490963}",20,13,-37.750715465708645,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 1}",1
812,False,"{'a': 0.01, 'e': 0.3204387469126899}",20,0,-13.04246968613377,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
813,False,"{'a': 0.01, 'e': 0.3189412636666724}",20,6,27.712009198867086,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
814,False,"{'a': 0.01, 'e': 0.3174490413708929}",25,0,-1.2917458074325265,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
815,False,"{'a': 0.01, 'e': 0.31596208013945826}",20,6,11.49152218688877,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
816,False,"{'a': 0.01, 'e': 0.31448037984912225}",20,15,2.97339825109463,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
817,False,"{'a': 0.01, 'e': 0.3130039401418496}",20,1,33.196211492907715,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
818,False,"{'a': 0.01, 'e': 0.31153276042737177}",20,1,-29.795556585847926,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 0}",1
819,False,"{'a': 0.01, 'e': 0.310066839885734}",30,17,10.279860565692541,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
820,False,"{'a': 0.01, 'e': 0.3086061774698293}",20,12,12.203995168744049,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
821,False,"{'a': 0.01, 'e': 0.30715077190792683}",25,13,-21.02565476856723,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
822,False,"{'a': 0.01, 'e': 0.30570062170618506}",20,12,3.0960075798855167,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
823,False,"{'a': 0.01, 'e': 0.3042557251511594}",35,20,15.025358373991162,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
824,False,"{'a': 0.01, 'e': 0.30281608031229434}",20,10,7.403869296692442,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
825,False,"{'a': 0.01, 'e': 0.301381685044409}",20,12,11.898224049147016,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
826,False,"{'a': 0.01, 'e': 0.29995253699016944}",20,0,-22.945735947872297,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
827,False,"{'a': 0.01, 'e': 0.29852863358254944}",25,5,-50.93257210776709,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",1
828,False,"{'a': 0.01, 'e': 0.29710997204728173}",20,8,23.94080510261545,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
829,False,"{'a': 0.01, 'e': 0.2956965494052961}",30,14,-51.79486339898598,"{0: 12, 1: 0, 2: 3, 3: 0, 4: 1}",1
830,False,"{'a': 0.01, 'e': 0.2942883624751471}",20,5,-35.00398093170737,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 1}",1
831,False,"{'a': 0.01, 'e': 0.2928854078754287}",25,14,-2.7007059058601186,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
832,False,"{'a': 0.01, 'e': 0.291487682027178}",20,1,5.869372467978878,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
833,False,"{'a': 0.01, 'e': 0.29009518115626765}",25,11,-12.311908112657242,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
834,False,"{'a': 0.01, 'e': 0.28870790129578305}",30,6,-35.07773730686557,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 1}",1
835,False,"{'a': 0.01, 'e': 0.2873258382883913}",25,0,-22.650327922682926,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
836,False,"{'a': 0.01, 'e': 0.28594898778869426}",20,15,-10.79236208413611,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
837,False,"{'a': 0.01, 'e': 0.2845773452655713}",20,10,1.9437095630880823,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
838,False,"{'a': 0.01, 'e': 0.28321090600450805}",20,3,6.279607405680126,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
839,False,"{'a': 0.01, 'e': 0.2818496651099127}",20,2,-19.366275498662354,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 0}",1
840,False,"{'a': 0.01, 'e': 0.28049361750742086}",25,0,-21.59391289440501,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
841,False,"{'a': 0.01, 'e': 0.27914275794618415}",20,8,21.929042679360307,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
842,False,"{'a': 0.01, 'e': 0.27779708100114997}",25,2,-39.99841729858513,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 1}",1
843,False,"{'a': 0.01, 'e': 0.27645658107532367}",25,0,-1.3582332170258966,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
844,False,"{'a': 0.01, 'e': 0.2751212524020209}",20,5,-17.408088114438367,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
